"","name","itemLevel","upgradeLvl","bind","hand","type","damageLow","damageHigh","speed","dps","orOption","agility","critStrike","haste","intellect","mastery","stamina","strength","versatility","durability","reqLvl","sellPriceGold","sellPriceSilver","sellPriceCopper","side","expansion","patchNum"
"5693","Ner'onok's Razor Katar","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","10",NA,NA,"22",NA,NA,"65",88,"23","87","19",NA,"Legion","7.1.5"
"5694","Claws of Gekkan","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","9",NA,NA,"22",NA,NA,"65",88,"23","60","36",NA,"Legion","7.1.5"
"5695","Gustwalker Staff","450",NA,"Binds when picked up","Two-Hand","Staff","93","127","3.60","30.69",NA,NA,"24",NA,"221","20","51",NA,NA,"100",88,"29","95","38",NA,"Legion","7.1.5"
"5696","Siege-Captain's Scimitar","450",NA,"Binds when picked up","One-Hand","Sword","93","155","2.60","47.70",NA,"15","8","11",NA,NA,"22",NA,NA,"90",88,"25","70","37",NA,"Legion","7.1.5"
"5697","Ghostheart","450",NA,"Binds when picked up","Two-Hand","Polearm","154","287","3.60","61.36",NA,"34","23","22",NA,NA,"51",NA,NA,"100",88,"29","73","22",NA,"Legion","7.1.5"
"5698","Carapace Breaker","450",NA,"Binds when picked up","One-Hand","Mace","54","70","2.60","23.90",NA,NA,"10","10","202",NA,"22",NA,NA,"90",88,"24","79","3",NA,"Legion","7.1.5"
"5699","Tempestuous Longbow","450",NA,"Binds when picked up","Ranged","Bow","156","212","3.00","61.43",NA,"34","23","23",NA,NA,"51",NA,NA,"100",88,"29","38","75",NA,"Legion","7.1.5"
"5700","Firescribe Dagger","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,NA,"11","9","202",NA,"22",NA,NA,"65",88,"24","14","77",NA,"Legion","7.1.5"
"5701","Yaungol Fire Carrier",NA,NA,NA,"One-Hand","Mace","108","140","2.60","47.80",NA,NA,NA,NA,NA,NA,"15","22",NA,"90",86,"24","84","54",NA,"Mists of Pandaria","5.0.1"
"5702","Ghostheart","450",NA,"Binds when picked up","Two-Hand","Polearm","154","287","3.60","61.36",NA,"34","23","22",NA,NA,"51",NA,NA,"100",88,"30","25","62",NA,"Mists of Pandaria","5.0.1"
"5703","Carapace Breaker","450",NA,"Binds when picked up","One-Hand","Mace","54","70","2.60","23.90",NA,NA,"10","10","202",NA,"22",NA,NA,"90",87,"22","78","73",NA,"Mists of Pandaria","5.0.1"
"5704","Ka'eng, Breath of the Shadow","448",NA,"Binds when picked up","One-Hand","Fist Weapon","101","145","2.60","47.47",NA,"14","11","7",NA,NA,"21",NA,NA,NA,87,"34","2","92",NA,"Legion","7.1.5"
"5705","Boggeo's Thorns","437",NA,"Binds when picked up","One-Hand","Dagger","31","52","1.80","23.12",NA,NA,NA,"10","195","8","21",NA,NA,"55",89,"18","87","50",NA,"Mists of Pandaria","5.0.4"
"5706","Jaws of the Wakener","437",NA,"Binds when picked up","One-Hand","Fist Weapon","99","141","2.60","46.19",NA,"14","8",NA,NA,"10","21",NA,NA,"55",89,"19","28","95",NA,"Mists of Pandaria","5.0.1"
"5707","Spiked Edge of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Dagger","62","104","1.80","46.23",NA,"14","11",NA,NA,"8","21",NA,NA,"55",89,"18","78","94",NA,"Mists of Pandaria","5.0.1"
"5708","Thorns of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Fist Weapon","99","141","2.60","46.19",NA,"14","10","8",NA,NA,"21",NA,NA,"55",89,"18","86","14",NA,"Mists of Pandaria","5.0.1"
"5709","Kyparitic Staff","437",NA,"Binds when picked up","Two-Hand","Staff","182","246","3.60","59.46",NA,"33","25",NA,NA,"17","50",NA,NA,"85",89,"24","73","95",NA,"Mists of Pandaria","5.0.1"
"5710","Kyparitic Clawmace","437",NA,"Binds when picked up","Two-Hand","Mace","187","241","3.60","59.51",NA,NA,"24","18",NA,NA,"50","33",NA,"85",89,"24","82","95",NA,"Mists of Pandaria","5.0.1"
"5711","Bloodseeker's Mace","437",NA,"Binds when picked up","One-Hand","Mace","105","135","2.60","46.20",NA,NA,"10","8",NA,NA,"21","14",NA,"75",89,"19",NA,"34",NA,"Mists of Pandaria","5.0.1"
"5712","Oracle's Blade","437",NA,"Binds when picked up","One-Hand","Dagger","31","52","1.80","23.12",NA,NA,"9","10","195",NA,"21",NA,NA,"55",89,"18","94","70",NA,"Mists of Pandaria","5.0.4"
"5713","Obelisk of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Mace","105","135","2.60","46.20",NA,NA,"8","10",NA,NA,"21","14",NA,"75",89,"20","7","77",NA,"Mists of Pandaria","5.0.1"
"5714","Bow of the Rikkitun","437",NA,"Binds when picked up","Ranged","Bow","151","205","3.00","59.46",NA,"33","22",NA,NA,"22","50",NA,NA,"85",89,"25",NA,"95",NA,"Mists of Pandaria","5.0.1"
"5715","Bloodseeker's Axe","437",NA,"Binds when picked up","Two-Hand","Axe","139","289","3.60","59.48",NA,NA,NA,"22",NA,"22","50","33",NA,"85",89,"23","66","43",NA,"Mists of Pandaria","5.0.1"
"5716","Boggeo's Ritual Axe","437",NA,"Binds when picked up","One-Hand","Axe","39","81","2.60","23.09",NA,NA,NA,"10","195","8","21",NA,NA,"75",89,"20","14","97",NA,"Mists of Pandaria","5.0.1"
"5717","Axe of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Axe","78","162","2.60","46.18",NA,NA,"11","8",NA,NA,"21","14",NA,"75",89,"19","93","56",NA,"Mists of Pandaria","5.0.1"
"5718","Saltscale Dagger","437",NA,"Binds when picked up","One-Hand","Dagger","62","104","1.80","46.23",NA,"14",NA,"7",NA,"11","21",NA,NA,"55",89,"19","21","75",NA,"Mists of Pandaria","5.0.1"
"5719","Warmace of Taran Zhu","435",NA,"Binds when picked up","Two-Hand","Mace","189","243","3.60","60.00",NA,NA,"20",NA,NA,"23","50","33",NA,"100",87,"28","4","31",NA,"Mists of Pandaria","5.0.1"
"5720","Snowdrift's Bladed Staff","435",NA,"Binds when picked up","Two-Hand","Staff","183","248","3.60","59.95",NA,"33","21",NA,NA,"23","50",NA,NA,"100",87,"28","15","7",NA,"Mists of Pandaria","5.0.1"
"5721","Crescent of Ichor","435",NA,"Binds when picked up","One-Hand","Axe","78","164","2.60","46.69",NA,"14",NA,"10",NA,"9","21",NA,NA,"90",87,"23","4","15",NA,"Mists of Pandaria","5.0.1"
"5722","Snowdrift's Bladed Staff","435",NA,"Binds when picked up","Two-Hand","Staff","183","248","3.60","59.95",NA,"33","21",NA,NA,"23","50",NA,NA,"100",87,"29","73","84",NA,"Legion","7.1.5"
"5723","Warmace of Taran Zhu","435",NA,"Binds when picked up","Two-Hand","Mace","189","243","3.60","60.00",NA,NA,"20",NA,NA,"23","50","33",NA,"100",87,"29","62","76",NA,"Legion","7.1.5"
"5724","Crescent of Ichor","435",NA,"Binds when picked up","One-Hand","Axe","78","164","2.60","46.69",NA,"14",NA,"10",NA,"9","21",NA,NA,"90",87,"24","60","81",NA,"Legion","7.1.5"
"5725","Hozen Warrior Spear",NA,NA,NA,"Two-Hand","Polearm","148","275","3.60","58.78",NA,"33",NA,"19",NA,"23","49",NA,NA,"100",86,"28","87","49",NA,"Mists of Pandaria","5.0.3"
"5726","Mogu'Dar, Blade of the Thousand Slaves","463",NA,"Binds when picked up","Two-Hand","Sword","170","285","3.60","63.32",NA,NA,"20","26",NA,NA,"53","35",NA,"120",88,"42","38","7",NA,"Legion","7.1.5"
"5727","Klatith, Fangs of the Swarm","463",NA,"Binds when picked up","Ranged","Bow","161","218","3.00","63.24",NA,"35","23","23",NA,NA,"53",NA,NA,NA,88,"42","99","95",NA,"Legion","7.1.5"
"5728","Tempestuous Longbow","450",NA,"Binds when picked up","Ranged","Bow","156","212","3.00","61.43",NA,"34","23","23",NA,NA,"51",NA,NA,"100",89,"29","36","57",NA,"Mists of Pandaria","5.4.0"
"5729","Malik's Stalwart Spear",NA,NA,NA,"Two-Hand","Polearm","154","287","3.60","61.36",NA,"34",NA,"23",NA,"23","51",NA,NA,"100",86,"29","6","88",NA,"Mists of Pandaria","5.0.5"
"5730","Blade of the Prime",NA,NA,NA,"One-Hand","Sword","93","155","2.60","47.70",NA,NA,"9",NA,NA,"10","22","15",NA,"90",86,"23","43","26",NA,"Mists of Pandaria","5.0.1"
"5731","Blade of the Poisoned Mind",NA,NA,NA,"One-Hand","Sword","46","78","2.60","23.95",NA,NA,"8",NA,"202","11","22",NA,NA,"90",86,"23","87","15",NA,"Mists of Pandaria","5.0.4"
"5732","Siege-Captain's Scimitar","450",NA,"Binds when picked up","One-Hand","Sword","93","155","2.60","47.70",NA,"15","8","11",NA,NA,"22",NA,NA,"90",89,"22","96","48",NA,"Mists of Pandaria","5.4.0"
"5733","Swarming Cleaver of Ka'roz",NA,NA,NA,"Two-Hand","Sword","165","276","3.60","61.36",NA,NA,"20","24",NA,NA,"51","34",NA,"100",86,"29","39","87",NA,"Mists of Pandaria","5.0.4"
"5734","Dissector's Staff of Mutation",NA,NA,NA,"Two-Hand","Staff","93","127","3.60","30.69",NA,NA,"23",NA,"221","23","51",NA,NA,"100",86,"29","50","96",NA,"Mists of Pandaria","5.0.4"
"5735","Gustwalker Staff","450",NA,"Binds when picked up","Two-Hand","Staff","93","127","3.60","30.69",NA,NA,"24",NA,"221","20","51",NA,NA,"100",89,"31","15","27",NA,"Mists of Pandaria","5.4.0"
"5736","Claws of Gekkan","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","9",NA,NA,"22",NA,NA,"65",88,"24","2","74",NA,"Mists of Pandaria","5.0.1"
"5737","Lobstmourne","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","11",NA,NA,"9","22",NA,NA,"65",89,"24","23","37",NA,"Mists of Pandaria","5.0.4"
"5738","Ner'onok's Razor Katar","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","10",NA,NA,"22",NA,NA,"65",89,"24","74","46",NA,"Mists of Pandaria","5.4.0"
"5739","Mantid Trochanter","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,"15","10","10",NA,NA,"22",NA,NA,"65",87,"22","87","61",NA,"Mists of Pandaria","5.0.1"
"5740","Firescribe Dagger","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,NA,"11","9","202",NA,"22",NA,NA,"65",88,"22","96","72",NA,"Mists of Pandaria","5.0.1"
"5741","Wind-Reaver's Dagger of Quick Strikes",NA,NA,NA,"One-Hand","Dagger","64","107","1.80","47.62",NA,"15",NA,"10",NA,"10","22",NA,NA,"65",86,"24","93","17",NA,"Mists of Pandaria","5.0.1"
"5742","Mantid Trochanter","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,"15","10","10",NA,NA,"22",NA,NA,"65",88,"24","51","95",NA,"Legion","7.1.5"
"5743","Ner'onok's Razor Katar","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","10",NA,NA,"22",NA,NA,"65",88,"23","87","19",NA,"Legion","7.1.5"
"5744","Claws of Gekkan","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","9",NA,NA,"22",NA,NA,"65",88,"23","60","36",NA,"Legion","7.1.5"
"5745","Gustwalker Staff","450",NA,"Binds when picked up","Two-Hand","Staff","93","127","3.60","30.69",NA,NA,"24",NA,"221","20","51",NA,NA,"100",88,"29","95","38",NA,"Legion","7.1.5"
"5746","Siege-Captain's Scimitar","450",NA,"Binds when picked up","One-Hand","Sword","93","155","2.60","47.70",NA,"15","8","11",NA,NA,"22",NA,NA,"90",88,"25","70","37",NA,"Legion","7.1.5"
"5747","Ghostheart","450",NA,"Binds when picked up","Two-Hand","Polearm","154","287","3.60","61.36",NA,"34","23","22",NA,NA,"51",NA,NA,"100",88,"29","73","22",NA,"Legion","7.1.5"
"5748","Carapace Breaker","450",NA,"Binds when picked up","One-Hand","Mace","54","70","2.60","23.90",NA,NA,"10","10","202",NA,"22",NA,NA,"90",88,"24","79","3",NA,"Legion","7.1.5"
"5749","Tempestuous Longbow","450",NA,"Binds when picked up","Ranged","Bow","156","212","3.00","61.43",NA,"34","23","23",NA,NA,"51",NA,NA,"100",88,"29","38","75",NA,"Legion","7.1.5"
"5750","Firescribe Dagger","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,NA,"11","9","202",NA,"22",NA,NA,"65",88,"24","14","77",NA,"Legion","7.1.5"
"5751","Yaungol Fire Carrier",NA,NA,NA,"One-Hand","Mace","108","140","2.60","47.80",NA,NA,NA,NA,NA,NA,"15","22",NA,"90",86,"24","84","54",NA,"Mists of Pandaria","5.0.1"
"5752","Ghostheart","450",NA,"Binds when picked up","Two-Hand","Polearm","154","287","3.60","61.36",NA,"34","23","22",NA,NA,"51",NA,NA,"100",88,"30","25","62",NA,"Mists of Pandaria","5.0.1"
"5753","Carapace Breaker","450",NA,"Binds when picked up","One-Hand","Mace","54","70","2.60","23.90",NA,NA,"10","10","202",NA,"22",NA,NA,"90",87,"22","78","73",NA,"Mists of Pandaria","5.0.1"
"5754","Ka'eng, Breath of the Shadow","448",NA,"Binds when picked up","One-Hand","Fist Weapon","101","145","2.60","47.47",NA,"14","11","7",NA,NA,"21",NA,NA,NA,87,"34","2","92",NA,"Legion","7.1.5"
"5755","Boggeo's Thorns","437",NA,"Binds when picked up","One-Hand","Dagger","31","52","1.80","23.12",NA,NA,NA,"10","195","8","21",NA,NA,"55",89,"18","87","50",NA,"Mists of Pandaria","5.0.4"
"5756","Jaws of the Wakener","437",NA,"Binds when picked up","One-Hand","Fist Weapon","99","141","2.60","46.19",NA,"14","8",NA,NA,"10","21",NA,NA,"55",89,"19","28","95",NA,"Mists of Pandaria","5.0.1"
"5757","Spiked Edge of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Dagger","62","104","1.80","46.23",NA,"14","11",NA,NA,"8","21",NA,NA,"55",89,"18","78","94",NA,"Mists of Pandaria","5.0.1"
"5758","Thorns of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Fist Weapon","99","141","2.60","46.19",NA,"14","10","8",NA,NA,"21",NA,NA,"55",89,"18","86","14",NA,"Mists of Pandaria","5.0.1"
"5759","Kyparitic Staff","437",NA,"Binds when picked up","Two-Hand","Staff","182","246","3.60","59.46",NA,"33","25",NA,NA,"17","50",NA,NA,"85",89,"24","73","95",NA,"Mists of Pandaria","5.0.1"
"5760","Kyparitic Clawmace","437",NA,"Binds when picked up","Two-Hand","Mace","187","241","3.60","59.51",NA,NA,"24","18",NA,NA,"50","33",NA,"85",89,"24","82","95",NA,"Mists of Pandaria","5.0.1"
"5761","Bloodseeker's Mace","437",NA,"Binds when picked up","One-Hand","Mace","105","135","2.60","46.20",NA,NA,"10","8",NA,NA,"21","14",NA,"75",89,"19",NA,"34",NA,"Mists of Pandaria","5.0.1"
"5762","Oracle's Blade","437",NA,"Binds when picked up","One-Hand","Dagger","31","52","1.80","23.12",NA,NA,"9","10","195",NA,"21",NA,NA,"55",89,"18","94","70",NA,"Mists of Pandaria","5.0.4"
"5763","Obelisk of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Mace","105","135","2.60","46.20",NA,NA,"8","10",NA,NA,"21","14",NA,"75",89,"20","7","77",NA,"Mists of Pandaria","5.0.1"
"5764","Bow of the Rikkitun","437",NA,"Binds when picked up","Ranged","Bow","151","205","3.00","59.46",NA,"33","22",NA,NA,"22","50",NA,NA,"85",89,"25",NA,"95",NA,"Mists of Pandaria","5.0.1"
"5765","Bloodseeker's Axe","437",NA,"Binds when picked up","Two-Hand","Axe","139","289","3.60","59.48",NA,NA,NA,"22",NA,"22","50","33",NA,"85",89,"23","66","43",NA,"Mists of Pandaria","5.0.1"
"5766","Boggeo's Ritual Axe","437",NA,"Binds when picked up","One-Hand","Axe","39","81","2.60","23.09",NA,NA,NA,"10","195","8","21",NA,NA,"75",89,"20","14","97",NA,"Mists of Pandaria","5.0.1"
"5767","Axe of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Axe","78","162","2.60","46.18",NA,NA,"11","8",NA,NA,"21","14",NA,"75",89,"19","93","56",NA,"Mists of Pandaria","5.0.1"
"5768","Saltscale Dagger","437",NA,"Binds when picked up","One-Hand","Dagger","62","104","1.80","46.23",NA,"14",NA,"7",NA,"11","21",NA,NA,"55",89,"19","21","75",NA,"Mists of Pandaria","5.0.1"
"5769","Warmace of Taran Zhu","435",NA,"Binds when picked up","Two-Hand","Mace","189","243","3.60","60.00",NA,NA,"20",NA,NA,"23","50","33",NA,"100",87,"28","4","31",NA,"Mists of Pandaria","5.0.1"
"5770","Snowdrift's Bladed Staff","435",NA,"Binds when picked up","Two-Hand","Staff","183","248","3.60","59.95",NA,"33","21",NA,NA,"23","50",NA,NA,"100",87,"28","15","7",NA,"Mists of Pandaria","5.0.1"
"5771","Crescent of Ichor","435",NA,"Binds when picked up","One-Hand","Axe","78","164","2.60","46.69",NA,"14",NA,"10",NA,"9","21",NA,NA,"90",87,"23","4","15",NA,"Mists of Pandaria","5.0.1"
"5772","Snowdrift's Bladed Staff","435",NA,"Binds when picked up","Two-Hand","Staff","183","248","3.60","59.95",NA,"33","21",NA,NA,"23","50",NA,NA,"100",87,"29","73","84",NA,"Legion","7.1.5"
"5773","Warmace of Taran Zhu","435",NA,"Binds when picked up","Two-Hand","Mace","189","243","3.60","60.00",NA,NA,"20",NA,NA,"23","50","33",NA,"100",87,"29","62","76",NA,"Legion","7.1.5"
"5774","Crescent of Ichor","435",NA,"Binds when picked up","One-Hand","Axe","78","164","2.60","46.69",NA,"14",NA,"10",NA,"9","21",NA,NA,"90",87,"24","60","81",NA,"Legion","7.1.5"
"5775","Hozen Warrior Spear",NA,NA,NA,"Two-Hand","Polearm","148","275","3.60","58.78",NA,"33",NA,"19",NA,"23","49",NA,NA,"100",86,"28","87","49",NA,"Mists of Pandaria","5.0.3"
"5776","Mogu'Dar, Blade of the Thousand Slaves","463",NA,"Binds when picked up","Two-Hand","Sword","170","285","3.60","63.32",NA,NA,"20","26",NA,NA,"53","35",NA,"120",88,"42","38","7",NA,"Legion","7.1.5"
"5777","Klatith, Fangs of the Swarm","463",NA,"Binds when picked up","Ranged","Bow","161","218","3.00","63.24",NA,"35","23","23",NA,NA,"53",NA,NA,NA,88,"42","99","95",NA,"Legion","7.1.5"
"5778","Tempestuous Longbow","450",NA,"Binds when picked up","Ranged","Bow","156","212","3.00","61.43",NA,"34","23","23",NA,NA,"51",NA,NA,"100",89,"29","36","57",NA,"Mists of Pandaria","5.4.0"
"5779","Malik's Stalwart Spear",NA,NA,NA,"Two-Hand","Polearm","154","287","3.60","61.36",NA,"34",NA,"23",NA,"23","51",NA,NA,"100",86,"29","6","88",NA,"Mists of Pandaria","5.0.5"
"5780","Blade of the Prime",NA,NA,NA,"One-Hand","Sword","93","155","2.60","47.70",NA,NA,"9",NA,NA,"10","22","15",NA,"90",86,"23","43","26",NA,"Mists of Pandaria","5.0.1"
"5781","Blade of the Poisoned Mind",NA,NA,NA,"One-Hand","Sword","46","78","2.60","23.95",NA,NA,"8",NA,"202","11","22",NA,NA,"90",86,"23","87","15",NA,"Mists of Pandaria","5.0.4"
"5782","Siege-Captain's Scimitar","450",NA,"Binds when picked up","One-Hand","Sword","93","155","2.60","47.70",NA,"15","8","11",NA,NA,"22",NA,NA,"90",89,"22","96","48",NA,"Mists of Pandaria","5.4.0"
"5783","Swarming Cleaver of Ka'roz",NA,NA,NA,"Two-Hand","Sword","165","276","3.60","61.36",NA,NA,"20","24",NA,NA,"51","34",NA,"100",86,"29","39","87",NA,"Mists of Pandaria","5.0.4"
"5784","Dissector's Staff of Mutation",NA,NA,NA,"Two-Hand","Staff","93","127","3.60","30.69",NA,NA,"23",NA,"221","23","51",NA,NA,"100",86,"29","50","96",NA,"Mists of Pandaria","5.0.4"
"5785","Gustwalker Staff","450",NA,"Binds when picked up","Two-Hand","Staff","93","127","3.60","30.69",NA,NA,"24",NA,"221","20","51",NA,NA,"100",89,"31","15","27",NA,"Mists of Pandaria","5.4.0"
"5786","Claws of Gekkan","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","9",NA,NA,"22",NA,NA,"65",88,"24","2","74",NA,"Mists of Pandaria","5.0.1"
"5787","Lobstmourne","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","11",NA,NA,"9","22",NA,NA,"65",89,"24","23","37",NA,"Mists of Pandaria","5.0.4"
"5788","Ner'onok's Razor Katar","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","10",NA,NA,"22",NA,NA,"65",89,"24","74","46",NA,"Mists of Pandaria","5.4.0"
"5789","Mantid Trochanter","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,"15","10","10",NA,NA,"22",NA,NA,"65",87,"22","87","61",NA,"Mists of Pandaria","5.0.1"
"5790","Firescribe Dagger","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,NA,"11","9","202",NA,"22",NA,NA,"65",88,"22","96","72",NA,"Mists of Pandaria","5.0.1"
"5791","Wind-Reaver's Dagger of Quick Strikes",NA,NA,NA,"One-Hand","Dagger","64","107","1.80","47.62",NA,"15",NA,"10",NA,"10","22",NA,NA,"65",86,"24","93","17",NA,"Mists of Pandaria","5.0.1"
"5792","Mantid Trochanter","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,"15","10","10",NA,NA,"22",NA,NA,"65",88,"24","51","95",NA,"Legion","7.1.5"
"5793","Ner'onok's Razor Katar","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","10",NA,NA,"22",NA,NA,"65",88,"23","87","19",NA,"Legion","7.1.5"
"5794","Claws of Gekkan","450",NA,"Binds when picked up","One-Hand","Fist Weapon","102","146","2.60","47.76",NA,"15","10","9",NA,NA,"22",NA,NA,"65",88,"23","60","36",NA,"Legion","7.1.5"
"5795","Gustwalker Staff","450",NA,"Binds when picked up","Two-Hand","Staff","93","127","3.60","30.69",NA,NA,"24",NA,"221","20","51",NA,NA,"100",88,"29","95","38",NA,"Legion","7.1.5"
"5796","Siege-Captain's Scimitar","450",NA,"Binds when picked up","One-Hand","Sword","93","155","2.60","47.70",NA,"15","8","11",NA,NA,"22",NA,NA,"90",88,"25","70","37",NA,"Legion","7.1.5"
"5797","Ghostheart","450",NA,"Binds when picked up","Two-Hand","Polearm","154","287","3.60","61.36",NA,"34","23","22",NA,NA,"51",NA,NA,"100",88,"29","73","22",NA,"Legion","7.1.5"
"5798","Carapace Breaker","450",NA,"Binds when picked up","One-Hand","Mace","54","70","2.60","23.90",NA,NA,"10","10","202",NA,"22",NA,NA,"90",88,"24","79","3",NA,"Legion","7.1.5"
"5799","Tempestuous Longbow","450",NA,"Binds when picked up","Ranged","Bow","156","212","3.00","61.43",NA,"34","23","23",NA,NA,"51",NA,NA,"100",88,"29","38","75",NA,"Legion","7.1.5"
"5800","Firescribe Dagger","450",NA,"Binds when picked up","One-Hand","Dagger","64","107","1.80","47.62",NA,NA,"11","9","202",NA,"22",NA,NA,"65",88,"24","14","77",NA,"Legion","7.1.5"
"5801","Yaungol Fire Carrier",NA,NA,NA,"One-Hand","Mace","108","140","2.60","47.80",NA,NA,NA,NA,NA,NA,"15","22",NA,"90",86,"24","84","54",NA,"Mists of Pandaria","5.0.1"
"5802","Ghostheart","450",NA,"Binds when picked up","Two-Hand","Polearm","154","287","3.60","61.36",NA,"34","23","22",NA,NA,"51",NA,NA,"100",88,"30","25","62",NA,"Mists of Pandaria","5.0.1"
"5803","Carapace Breaker","450",NA,"Binds when picked up","One-Hand","Mace","54","70","2.60","23.90",NA,NA,"10","10","202",NA,"22",NA,NA,"90",87,"22","78","73",NA,"Mists of Pandaria","5.0.1"
"5804","Ka'eng, Breath of the Shadow","448",NA,"Binds when picked up","One-Hand","Fist Weapon","101","145","2.60","47.47",NA,"14","11","7",NA,NA,"21",NA,NA,NA,87,"34","2","92",NA,"Legion","7.1.5"
"5805","Boggeo's Thorns","437",NA,"Binds when picked up","One-Hand","Dagger","31","52","1.80","23.12",NA,NA,NA,"10","195","8","21",NA,NA,"55",89,"18","87","50",NA,"Mists of Pandaria","5.0.4"
"5806","Jaws of the Wakener","437",NA,"Binds when picked up","One-Hand","Fist Weapon","99","141","2.60","46.19",NA,"14","8",NA,NA,"10","21",NA,NA,"55",89,"19","28","95",NA,"Mists of Pandaria","5.0.1"
"5807","Spiked Edge of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Dagger","62","104","1.80","46.23",NA,"14","11",NA,NA,"8","21",NA,NA,"55",89,"18","78","94",NA,"Mists of Pandaria","5.0.1"
"5808","Thorns of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Fist Weapon","99","141","2.60","46.19",NA,"14","10","8",NA,NA,"21",NA,NA,"55",89,"18","86","14",NA,"Mists of Pandaria","5.0.1"
"5809","Kyparitic Staff","437",NA,"Binds when picked up","Two-Hand","Staff","182","246","3.60","59.46",NA,"33","25",NA,NA,"17","50",NA,NA,"85",89,"24","73","95",NA,"Mists of Pandaria","5.0.1"
"5810","Kyparitic Clawmace","437",NA,"Binds when picked up","Two-Hand","Mace","187","241","3.60","59.51",NA,NA,"24","18",NA,NA,"50","33",NA,"85",89,"24","82","95",NA,"Mists of Pandaria","5.0.1"
"5811","Bloodseeker's Mace","437",NA,"Binds when picked up","One-Hand","Mace","105","135","2.60","46.20",NA,NA,"10","8",NA,NA,"21","14",NA,"75",89,"19",NA,"34",NA,"Mists of Pandaria","5.0.1"
"5812","Oracle's Blade","437",NA,"Binds when picked up","One-Hand","Dagger","31","52","1.80","23.12",NA,NA,"9","10","195",NA,"21",NA,NA,"55",89,"18","94","70",NA,"Mists of Pandaria","5.0.4"
"5813","Obelisk of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Mace","105","135","2.60","46.20",NA,NA,"8","10",NA,NA,"21","14",NA,"75",89,"20","7","77",NA,"Mists of Pandaria","5.0.1"
"5814","Bow of the Rikkitun","437",NA,"Binds when picked up","Ranged","Bow","151","205","3.00","59.46",NA,"33","22",NA,NA,"22","50",NA,NA,"85",89,"25",NA,"95",NA,"Mists of Pandaria","5.0.1"
"5815","Bloodseeker's Axe","437",NA,"Binds when picked up","Two-Hand","Axe","139","289","3.60","59.48",NA,NA,NA,"22",NA,"22","50","33",NA,"85",89,"23","66","43",NA,"Mists of Pandaria","5.0.1"
"5816","Boggeo's Ritual Axe","437",NA,"Binds when picked up","One-Hand","Axe","39","81","2.60","23.09",NA,NA,NA,"10","195","8","21",NA,NA,"75",89,"20","14","97",NA,"Mists of Pandaria","5.0.1"
"5817","Axe of the Rikkitun","437",NA,"Binds when picked up","One-Hand","Axe","78","162","2.60","46.18",NA,NA,"11","8",NA,NA,"21","14",NA,"75",89,"19","93","56",NA,"Mists of Pandaria","5.0.1"
"5818","Saltscale Dagger","437",NA,"Binds when picked up","One-Hand","Dagger","62","104","1.80","46.23",NA,"14",NA,"7",NA,"11","21",NA,NA,"55",89,"19","21","75",NA,"Mists of Pandaria","5.0.1"
"5819","Warmace of Taran Zhu","435",NA,"Binds when picked up","Two-Hand","Mace","189","243","3.60","60.00",NA,NA,"20",NA,NA,"23","50","33",NA,"100",87,"28","4","31",NA,"Mists of Pandaria","5.0.1"
